timestamp,user_id,user_segment,product_category,promo_type,channel,price,quantity,conversion,inventory_remaining,fulfillment_status,revenue,date
2024-07-02,7603,Returning,Skincare,BOGO,SMS,93.27,2,1,5,On-time,186.54,2024-07-02
2024-07-05,5567,New,Haircare,Launch Bundle,Social Media,55.99,2,0,41,On-time,0.0,2024-07-05
2024-07-07,7513,Returning,Haircare,Launch Bundle,SMS,50.39,1,1,87,Delayed,50.39,2024-07-07
2024-07-06,5005,Returning,Makeup,25% Off,Paid Search,69.98,2,0,29,Delayed,0.0,2024-07-06
2024-07-06,1183,Returning,Makeup,25% Off,Paid Search,106.35,2,1,31,On-time,212.7,2024-07-06
2024-06-28,8755,New,Makeup,25% Off,Paid Search,15.91,1,0,52,Delayed,0.0,2024-06-28
2024-07-06,4358,Returning,Makeup,25% Off,SMS,89.6,2,0,18,On-time,0.0,2024-07-06
2024-07-04,7615,Returning,Fragrance,25% Off,Social Media,45.92,3,1,50,On-time,137.76,2024-07-04
2024-07-06,7797,Returning,Haircare,Launch Bundle,SMS,36.88,1,1,27,Delayed,36.88,2024-07-06
2024-07-05,9728,New,Skincare,Launch Bundle,Paid Search,16.27,3,1,46,On-time,48.81,2024-07-05
2024-06-28,8678,New,Fragrance,25% Off,Paid Search,109.14,2,1,71,On-time,218.28,2024-06-28
2024-07-05,6698,Returning,Makeup,BOGO,Paid Search,110.79,2,1,0,On-time,221.58,2024-07-05
2024-07-05,2273,New,Makeup,25% Off,SMS,21.45,3,1,67,On-time,64.35,2024-07-05
2024-07-08,7653,Returning,Fragrance,Launch Bundle,Email,69.79,2,0,56,On-time,0.0,2024-07-08
2024-06-30,2096,New,Skincare,BOGO,Paid Search,31.02,2,0,21,On-time,0.0,2024-06-30
2024-06-28,9002,Returning,Haircare,25% Off,Social Media,94.66,3,1,85,On-time,283.98,2024-06-28
2024-07-05,5247,New,Haircare,BOGO,Paid Search,84.87,2,1,93,On-time,169.74,2024-07-05
2024-06-30,6314,Returning,Skincare,25% Off,SMS,46.2,1,1,57,On-time,46.2,2024-06-30
2024-06-30,4354,Returning,Haircare,Launch Bundle,Social Media,27.28,3,1,90,On-time,81.84,2024-06-30
2024-06-28,1270,New,Makeup,25% Off,SMS,102.28,3,0,90,Delayed,0.0,2024-06-28
2024-07-08,2186,New,Makeup,BOGO,Email,85.8,3,1,12,On-time,257.4,2024-07-08
2024-07-02,7305,New,Makeup,Launch Bundle,Email,15.72,3,1,38,Out of Stock,47.160000000000004,2024-07-02
2024-07-07,3398,Returning,Makeup,25% Off,SMS,80.93,1,1,26,On-time,80.93,2024-07-07
2024-07-04,7995,Returning,Skincare,25% Off,Paid Search,100.08,3,1,38,On-time,300.24,2024-07-04
2024-07-07,8299,Returning,Haircare,25% Off,Social Media,77.03,3,1,71,On-time,231.09,2024-07-07
2024-07-06,5182,Returning,Haircare,25% Off,Paid Search,59.59,2,1,11,On-time,119.18,2024-07-06
2024-07-04,3230,Returning,Fragrance,Launch Bundle,SMS,76.31,3,1,23,On-time,228.93,2024-07-04
2024-07-06,7511,New,Skincare,Launch Bundle,SMS,80.07,2,0,17,On-time,0.0,2024-07-06
2024-07-05,1128,New,Haircare,25% Off,Paid Search,82.2,3,1,14,On-time,246.60000000000002,2024-07-05
2024-06-29,4672,New,Haircare,Launch Bundle,Social Media,116.54,3,1,59,On-time,349.62,2024-06-29
2024-06-28,5765,Returning,Fragrance,BOGO,Social Media,33.76,1,1,15,On-time,33.76,2024-06-28
2024-07-04,4970,Returning,Makeup,Launch Bundle,Social Media,80.42,2,1,96,Delayed,160.84,2024-07-04
2024-07-04,8545,New,Haircare,BOGO,Social Media,34.74,1,1,73,On-time,34.74,2024-07-04
2024-07-05,6552,Returning,Makeup,BOGO,Social Media,37.05,2,0,46,Delayed,0.0,2024-07-05
2024-07-02,1627,Returning,Fragrance,Launch Bundle,Email,85.27,3,1,23,On-time,255.81,2024-07-02
2024-06-30,7589,Returning,Haircare,25% Off,Email,111.18,1,1,44,On-time,111.18,2024-06-30
2024-07-05,3044,New,Makeup,Launch Bundle,SMS,31.7,2,1,18,Out of Stock,63.4,2024-07-05
2024-07-03,3341,New,Skincare,BOGO,Email,116.06,2,1,90,On-time,232.12,2024-07-03
2024-07-08,6884,Returning,Makeup,BOGO,Social Media,48.53,1,1,40,On-time,48.53,2024-07-08
2024-06-30,9185,Returning,Makeup,Launch Bundle,Social Media,56.09,2,1,30,On-time,112.18,2024-06-30
2024-06-28,1249,Returning,Makeup,BOGO,Social Media,31.14,3,1,84,On-time,93.42,2024-06-28
2024-06-30,3925,New,Makeup,Launch Bundle,SMS,79.66,2,0,15,Delayed,0.0,2024-06-30
2024-07-02,6043,New,Skincare,Launch Bundle,SMS,77.62,3,1,22,On-time,232.86,2024-07-02
2024-06-30,1974,Returning,Fragrance,25% Off,Paid Search,61.44,2,1,77,Out of Stock,122.88,2024-06-30
2024-06-28,8192,Returning,Makeup,BOGO,Email,64.99,1,1,22,On-time,64.99,2024-06-28
2024-07-02,3672,Returning,Makeup,Launch Bundle,Email,80.41,3,1,40,On-time,241.23,2024-07-02
2024-07-07,8279,Returning,Haircare,BOGO,Paid Search,76.27,2,1,17,On-time,152.54,2024-07-07
2024-07-04,8531,New,Haircare,Launch Bundle,Paid Search,54.3,3,1,35,Delayed,162.89999999999998,2024-07-04
2024-07-04,9662,Returning,Skincare,Launch Bundle,Email,107.83,1,1,11,On-time,107.83,2024-07-04
2024-07-08,2987,Returning,Skincare,25% Off,Social Media,85.1,2,1,74,Out of Stock,170.2,2024-07-08
2024-07-06,1090,New,Skincare,Launch Bundle,Email,36.57,2,1,68,On-time,73.14,2024-07-06
2024-07-07,9721,Returning,Haircare,25% Off,Social Media,48.59,3,1,50,On-time,145.77,2024-07-07
2024-07-07,5059,New,Makeup,BOGO,SMS,97.73,1,1,84,On-time,97.73,2024-07-07
2024-06-30,3773,New,Haircare,25% Off,Email,25.98,1,1,31,Delayed,25.98,2024-06-30
2024-07-04,9383,New,Fragrance,25% Off,Email,93.77,2,1,92,On-time,187.54,2024-07-04
2024-06-28,8409,New,Skincare,BOGO,SMS,52.68,3,0,70,On-time,0.0,2024-06-28
2024-07-01,5440,New,Skincare,25% Off,SMS,72.93,2,1,35,On-time,145.86,2024-07-01
2024-07-01,8347,Returning,Skincare,25% Off,SMS,44.46,2,1,39,On-time,88.92,2024-07-01
2024-07-02,2008,Returning,Fragrance,Launch Bundle,SMS,118.58,3,1,90,On-time,355.74,2024-07-02
2024-07-04,4783,Returning,Makeup,25% Off,SMS,110.11,1,1,69,Delayed,110.11,2024-07-04
2024-07-04,7646,New,Makeup,Launch Bundle,Paid Search,112.49,2,1,37,On-time,224.98,2024-07-04
2024-07-08,5298,New,Makeup,25% Off,Paid Search,34.4,2,0,53,Delayed,0.0,2024-07-08
2024-07-01,5668,Returning,Skincare,BOGO,SMS,103.38,3,1,3,On-time,310.14,2024-07-01
2024-07-04,5287,New,Makeup,BOGO,SMS,71.22,3,1,45,On-time,213.66,2024-07-04
2024-07-08,3052,New,Haircare,25% Off,SMS,89.33,2,0,62,On-time,0.0,2024-07-08
2024-06-30,7009,Returning,Skincare,Launch Bundle,SMS,37.84,1,1,98,On-time,37.84,2024-06-30
2024-07-03,2716,Returning,Fragrance,25% Off,Social Media,89.76,3,1,73,On-time,269.28000000000003,2024-07-03
2024-06-29,1310,Returning,Fragrance,Launch Bundle,Social Media,111.0,2,0,49,Delayed,0.0,2024-06-29
2024-07-07,5538,Returning,Makeup,25% Off,SMS,43.09,1,0,29,On-time,0.0,2024-07-07
2024-07-06,2260,New,Skincare,BOGO,SMS,39.5,3,1,72,Delayed,118.5,2024-07-06
2024-07-02,4932,Returning,Haircare,BOGO,Email,25.96,3,1,15,On-time,77.88,2024-07-02
2024-07-03,1584,New,Haircare,Launch Bundle,SMS,43.01,2,1,51,Delayed,86.02,2024-07-03
2024-07-01,8616,Returning,Skincare,25% Off,SMS,71.26,3,1,3,On-time,213.78000000000003,2024-07-01
2024-07-08,9551,New,Makeup,Launch Bundle,Paid Search,102.44,2,0,25,On-time,0.0,2024-07-08
2024-07-07,3866,Returning,Fragrance,BOGO,Social Media,44.27,3,0,28,On-time,0.0,2024-07-07
2024-07-04,6898,New,Fragrance,Launch Bundle,SMS,80.22,1,0,91,On-time,0.0,2024-07-04
2024-07-06,3011,Returning,Haircare,25% Off,Social Media,65.36,1,1,10,Out of Stock,65.36,2024-07-06
2024-07-04,7251,Returning,Haircare,Launch Bundle,Social Media,45.3,3,1,91,On-time,135.89999999999998,2024-07-04
2024-06-28,5939,Returning,Haircare,25% Off,Email,68.59,2,1,95,On-time,137.18,2024-06-28
2024-06-28,5006,Returning,Fragrance,25% Off,Social Media,32.64,3,0,23,On-time,0.0,2024-06-28
2024-07-06,2625,Returning,Haircare,BOGO,Social Media,82.16,2,0,50,On-time,0.0,2024-07-06
2024-07-08,1890,Returning,Fragrance,25% Off,SMS,27.14,3,1,41,On-time,81.42,2024-07-08
2024-07-06,7078,Returning,Fragrance,25% Off,Paid Search,91.75,1,1,38,On-time,91.75,2024-07-06
2024-07-01,8036,Returning,Makeup,25% Off,SMS,33.66,2,1,6,On-time,67.32,2024-07-01
2024-07-06,9923,Returning,Makeup,Launch Bundle,SMS,119.81,1,0,17,On-time,0.0,2024-07-06
2024-06-30,4961,Returning,Makeup,BOGO,Paid Search,101.49,1,1,2,On-time,101.49,2024-06-30
2024-07-04,3504,Returning,Haircare,Launch Bundle,Paid Search,51.1,1,1,62,On-time,51.1,2024-07-04
2024-07-03,9806,Returning,Fragrance,Launch Bundle,Email,59.75,3,1,19,On-time,179.25,2024-07-03
2024-07-05,4806,Returning,Haircare,BOGO,Paid Search,42.22,2,0,97,Delayed,0.0,2024-07-05
2024-07-08,7100,Returning,Fragrance,Launch Bundle,SMS,95.55,1,0,93,Delayed,0.0,2024-07-08
2024-07-06,2719,Returning,Makeup,Launch Bundle,Paid Search,54.98,2,1,72,Out of Stock,109.96,2024-07-06
2024-07-02,7686,New,Makeup,25% Off,Paid Search,94.29,2,0,73,Delayed,0.0,2024-07-02
2024-06-28,2587,Returning,Haircare,Launch Bundle,Paid Search,16.93,1,1,69,On-time,16.93,2024-06-28
2024-06-30,8000,Returning,Fragrance,BOGO,Social Media,29.24,3,0,16,On-time,0.0,2024-06-30
2024-07-07,1896,Returning,Haircare,Launch Bundle,Email,53.32,1,0,78,Delayed,0.0,2024-07-07
2024-07-05,6558,Returning,Skincare,25% Off,Social Media,26.44,1,1,96,On-time,26.44,2024-07-05
2024-07-08,9469,New,Haircare,Launch Bundle,Social Media,78.12,2,1,58,On-time,156.24,2024-07-08
2024-07-03,5647,Returning,Makeup,BOGO,Email,20.34,3,0,53,On-time,0.0,2024-07-03
2024-07-05,3432,Returning,Fragrance,25% Off,Social Media,105.28,2,0,12,Out of Stock,0.0,2024-07-05
2024-07-06,4904,Returning,Fragrance,Launch Bundle,Paid Search,94.94,3,1,41,Delayed,284.82,2024-07-06
2024-07-01,7837,New,Haircare,BOGO,Email,37.71,1,1,43,On-time,37.71,2024-07-01
2024-06-28,2449,Returning,Makeup,BOGO,Social Media,65.8,3,1,85,Out of Stock,197.39999999999998,2024-06-28
2024-06-28,5500,Returning,Skincare,Launch Bundle,SMS,62.44,2,1,79,Out of Stock,124.88,2024-06-28
2024-07-07,6454,New,Haircare,Launch Bundle,Social Media,91.11,1,1,97,On-time,91.11,2024-07-07
2024-07-01,5117,New,Fragrance,25% Off,SMS,57.16,3,1,66,Delayed,171.48,2024-07-01
2024-07-04,9869,New,Makeup,Launch Bundle,Paid Search,18.46,3,1,71,Delayed,55.38,2024-07-04
2024-06-29,3028,Returning,Fragrance,25% Off,SMS,43.74,2,1,19,On-time,87.48,2024-06-29
2024-06-30,7845,New,Fragrance,Launch Bundle,Social Media,63.95,3,1,46,On-time,191.85000000000002,2024-06-30
2024-06-28,4758,New,Fragrance,BOGO,Social Media,117.32,1,1,23,On-time,117.32,2024-06-28
2024-07-02,6904,Returning,Fragrance,BOGO,Social Media,107.52,3,1,50,On-time,322.56,2024-07-02
2024-06-28,5624,New,Skincare,BOGO,Email,34.05,2,1,17,Delayed,68.1,2024-06-28
2024-07-05,9848,New,Makeup,BOGO,Email,90.94,3,1,22,On-time,272.82,2024-07-05
2024-06-28,1165,Returning,Haircare,25% Off,Social Media,113.37,1,1,0,On-time,113.37,2024-06-28
2024-07-08,5591,Returning,Makeup,BOGO,Social Media,15.92,1,1,65,Delayed,15.92,2024-07-08
2024-06-28,1589,Returning,Makeup,25% Off,Paid Search,90.7,3,1,4,Out of Stock,272.1,2024-06-28
2024-06-29,5524,Returning,Makeup,25% Off,Email,63.23,3,1,17,On-time,189.69,2024-06-29
2024-06-29,3821,Returning,Haircare,25% Off,Email,86.42,1,0,79,Delayed,0.0,2024-06-29
2024-07-03,7509,Returning,Makeup,Launch Bundle,Email,78.59,2,1,73,On-time,157.18,2024-07-03
2024-07-04,8693,New,Haircare,25% Off,SMS,118.39,1,1,92,On-time,118.39,2024-07-04
2024-07-02,1071,New,Haircare,Launch Bundle,Social Media,45.33,3,1,34,Delayed,135.99,2024-07-02
2024-06-28,4580,Returning,Skincare,25% Off,Paid Search,97.55,3,1,24,Delayed,292.65,2024-06-28
2024-06-28,8962,New,Fragrance,Launch Bundle,Paid Search,39.64,2,0,23,On-time,0.0,2024-06-28
2024-06-30,1268,Returning,Haircare,Launch Bundle,Social Media,60.74,1,0,12,On-time,0.0,2024-06-30
2024-06-29,3462,Returning,Fragrance,BOGO,Social Media,117.41,1,0,20,On-time,0.0,2024-06-29
2024-07-02,2015,New,Makeup,25% Off,Paid Search,95.44,2,0,38,Delayed,0.0,2024-07-02
2024-07-07,8984,New,Fragrance,Launch Bundle,SMS,48.16,1,1,33,On-time,48.16,2024-07-07
2024-07-03,1406,New,Fragrance,BOGO,Paid Search,80.03,2,1,18,On-time,160.06,2024-07-03
2024-07-04,8384,Returning,Fragrance,25% Off,SMS,20.22,1,1,27,Delayed,20.22,2024-07-04
2024-07-01,7049,Returning,Makeup,BOGO,SMS,42.97,2,1,90,On-time,85.94,2024-07-01
2024-07-04,7169,Returning,Makeup,Launch Bundle,Email,90.43,2,1,89,On-time,180.86,2024-07-04
2024-07-08,8982,New,Haircare,BOGO,Social Media,74.86,2,0,10,On-time,0.0,2024-07-08
2024-07-05,1985,Returning,Haircare,BOGO,Email,64.32,3,1,48,Delayed,192.95999999999998,2024-07-05
2024-07-08,5485,Returning,Skincare,25% Off,SMS,87.54,3,0,34,Out of Stock,0.0,2024-07-08
2024-06-28,9901,New,Makeup,Launch Bundle,Paid Search,56.84,3,1,83,On-time,170.52,2024-06-28
2024-07-03,3618,Returning,Skincare,25% Off,Email,17.75,1,1,75,On-time,17.75,2024-07-03
2024-07-05,7289,Returning,Makeup,25% Off,Paid Search,61.31,2,1,56,On-time,122.62,2024-07-05
2024-07-02,7928,New,Fragrance,BOGO,SMS,109.72,1,0,27,Delayed,0.0,2024-07-02
2024-07-01,6368,Returning,Skincare,Launch Bundle,Paid Search,104.94,1,1,65,On-time,104.94,2024-07-01
2024-06-29,5621,New,Skincare,25% Off,Email,57.94,2,1,64,On-time,115.88,2024-06-29
2024-07-03,8566,Returning,Skincare,Launch Bundle,SMS,17.33,3,1,72,On-time,51.989999999999995,2024-07-03
2024-07-03,5670,New,Makeup,25% Off,Social Media,81.81,1,1,21,On-time,81.81,2024-07-03
2024-07-08,8658,Returning,Haircare,BOGO,Email,92.83,1,0,50,Delayed,0.0,2024-07-08
2024-06-28,2003,Returning,Skincare,25% Off,Email,45.9,1,1,90,On-time,45.9,2024-06-28
2024-07-06,8504,Returning,Haircare,25% Off,Social Media,65.05,3,1,8,Delayed,195.14999999999998,2024-07-06
2024-07-08,3466,Returning,Makeup,25% Off,SMS,119.14,2,1,70,On-time,238.28,2024-07-08
2024-07-03,2939,Returning,Skincare,Launch Bundle,Social Media,75.52,2,1,35,On-time,151.04,2024-07-03
2024-06-30,2635,Returning,Makeup,BOGO,Email,51.86,1,0,53,On-time,0.0,2024-06-30
2024-07-01,9095,Returning,Haircare,Launch Bundle,SMS,80.89,2,1,37,On-time,161.78,2024-07-01
2024-07-08,7265,Returning,Haircare,25% Off,Paid Search,33.9,3,1,65,On-time,101.69999999999999,2024-07-08
2024-07-01,2895,Returning,Skincare,BOGO,Email,35.92,2,1,42,Delayed,71.84,2024-07-01
2024-06-30,7524,Returning,Haircare,Launch Bundle,Paid Search,112.12,1,1,4,On-time,112.12,2024-06-30
2024-07-07,2073,Returning,Fragrance,25% Off,Social Media,40.12,1,1,80,Delayed,40.12,2024-07-07
2024-06-30,6184,Returning,Fragrance,BOGO,SMS,47.63,2,1,36,On-time,95.26,2024-06-30
2024-06-30,3402,Returning,Skincare,BOGO,Social Media,72.1,1,1,57,On-time,72.1,2024-06-30
2024-07-01,5895,New,Makeup,25% Off,Paid Search,109.47,3,1,62,On-time,328.40999999999997,2024-07-01
2024-07-04,8331,New,Makeup,BOGO,Email,97.05,3,1,98,Delayed,291.15,2024-07-04
2024-07-01,2956,New,Makeup,BOGO,SMS,19.6,3,1,50,On-time,58.800000000000004,2024-07-01
2024-07-06,8023,Returning,Fragrance,Launch Bundle,Social Media,87.77,3,1,71,On-time,263.31,2024-07-06
2024-06-28,4907,New,Haircare,BOGO,Paid Search,67.93,1,1,42,On-time,67.93,2024-06-28
2024-07-05,1807,Returning,Fragrance,Launch Bundle,Paid Search,64.93,1,1,66,On-time,64.93,2024-07-05
2024-07-04,9378,Returning,Haircare,Launch Bundle,Email,87.61,2,0,66,On-time,0.0,2024-07-04
2024-06-29,5827,New,Fragrance,Launch Bundle,Paid Search,35.6,1,0,64,On-time,0.0,2024-06-29
2024-07-05,5524,Returning,Makeup,Launch Bundle,SMS,118.06,2,0,61,On-time,0.0,2024-07-05
2024-06-28,3284,New,Makeup,BOGO,Paid Search,82.76,1,1,87,On-time,82.76,2024-06-28
2024-07-08,6313,New,Makeup,BOGO,Email,53.39,2,1,62,Delayed,106.78,2024-07-08
2024-07-06,1757,Returning,Skincare,Launch Bundle,Social Media,78.02,2,1,29,Delayed,156.04,2024-07-06
2024-07-06,5887,Returning,Skincare,BOGO,SMS,37.73,3,1,89,On-time,113.19,2024-07-06
2024-06-29,4854,Returning,Haircare,Launch Bundle,Social Media,81.55,2,1,37,On-time,163.1,2024-06-29
2024-07-04,4558,New,Skincare,Launch Bundle,Social Media,17.96,2,0,50,On-time,0.0,2024-07-04
2024-07-07,1961,Returning,Fragrance,Launch Bundle,Paid Search,50.82,2,1,37,Delayed,101.64,2024-07-07
2024-06-30,4847,New,Fragrance,25% Off,Paid Search,93.49,2,0,66,On-time,0.0,2024-06-30
2024-07-04,7726,New,Haircare,BOGO,Email,99.84,2,1,76,On-time,199.68,2024-07-04
2024-07-07,4575,New,Haircare,BOGO,Paid Search,41.56,3,1,99,Delayed,124.68,2024-07-07
2024-07-06,3418,New,Makeup,Launch Bundle,Paid Search,71.64,2,1,47,Out of Stock,143.28,2024-07-06
2024-07-01,5198,New,Skincare,BOGO,Social Media,70.49,2,1,11,Delayed,140.98,2024-07-01
